,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
43,Adelie,Dream,42.3,21.2,191,4150,male
44,Adelie,Biscoe,39.6,17.7,186,3500,female
45,Adelie,Biscoe,40.1,18.9,188,4300,male
46,Adelie,Biscoe,35.0,17.9,190,3450,female
47,Adelie,Biscoe,42.0,19.5,200,4050,male
48,Adelie,Biscoe,34.5,18.1,187,2900,female
49,Adelie,Biscoe,41.4,18.6,191,3700,male
50,Adelie,Biscoe,39.0,17.5,186,3550,female
51,Adelie,Biscoe,40.6,18.8,193,3800,male
52,Adelie,Biscoe,36.5,16.6,181,2850,female
53,Adelie,Biscoe,37.6,19.1,194,3750,male
54,Adelie,Biscoe,35.7,16.9,185,3150,female
55,Adelie,Biscoe,41.3,21.1,195,4400,male
56,Adelie,Biscoe,37.6,17.0,185,3600,female
57,Adelie,Biscoe,41.1,18.2,192,4050,male
58,Adelie,Biscoe,36.4,17.1,184,2850,female
59,Adelie,Biscoe,41.6,18.0,192,3950,male
60,Adelie,Biscoe,35.5,16.2,195,3350,female
61,Adelie,Biscoe,41.1,19.1,188,4100,male
62,Adelie,Torgersen,35.9,16.6,190,3050,female
63,Adelie,Torgersen,41.8,19.4,198,4450,male
64,Adelie,Torgersen,33.5,19.0,190,3600,female
65,Adelie,Torgersen,39.7,18.4,190,3900,male
66,Adelie,Torgersen,39.6,17.2,196,3550,female
67,Adelie,Torgersen,45.8,18.9,197,4150,male
68,Adelie,Torgersen,35.5,17.5,190,3700,female
69,Adelie,Torgersen,42.8,18.5,195,4250,male
70,Adelie,Torgersen,40.9,16.8,191,3700,female
71,Adelie,Torgersen,37.2,19.4,184,3900,male
72,Adelie,Torgersen,36.2,16.1,187,3550,female
73,Adelie,Torgersen,42.1,19.1,195,4000,male
74,Adelie,Torgersen,34.6,17.2,189,3200,female
75,Adelie,Torgersen,42.9,17.6,196,4700,male
76,Adelie,Torgersen,36.7,18.8,187,3800,female
77,Adelie,Torgersen,35.1,19.4,193,4200,male
78,Adelie,Dream,37.3,17.8,191,3350,female
79,Adelie,Dream,41.3,20.3,194,3550,male
80,Adelie,Dream,36.3,19.5,190,3800,male
81,Adelie,Dream,36.9,18.6,189,3500,female
82,Adelie,Dream,38.3,19.2,189,3950,male
83,Adelie,Dream,38.9,18.8,190,3600,female
84,Adelie,Dream,35.7,18.0,202,3550,female
85,Adelie,Dream,41.1,18.1,205,4300,male
86,Adelie,Dream,34.0,17.1,185,3400,female
87,Adelie,Dream,39.6,18.1,186,4450,male
88,Adelie,Dream,36.2,17.3,187,3300,female
89,Adelie,Dream,40.8,18.9,208,4300,male
90,Adelie,Dream,38.1,18.6,190,3700,female
91,Adelie,Dream,40.3,18.5,196,4350,male
92,Adelie,Dream,33.1,16.1,178,2900,female
93,Adelie,Dream,43.2,18.5,192,4100,male
94,Adelie,Biscoe,35.0,17.9,192,3725,female
95,Adelie,Biscoe,41.0,20.0,203,4725,male
96,Adelie,Biscoe,37.7,16.0,183,3075,female
97,Adelie,Biscoe,37.8,20.0,190,4250,male
98,Adelie,Biscoe,37.9,18.6,193,2925,female
99,Adelie,Biscoe,39.7,18.9,184,3550,male
100,Adelie,Biscoe,38.6,17.2,199,3750,female
101,Adelie,Biscoe,38.2,20.0,190,3900,male
102,Adelie,Biscoe,38.1,17.0,181,3175,female
103,Adelie,Biscoe,43.2,19.0,197,4775,male
104,Adelie,Biscoe,38.1,16.5,198,3825,female
105,Adelie,Biscoe,45.6,20.3,191,4600,male
106,Adelie,Biscoe,39.7,17.7,193,3200,female
107,Adelie,Biscoe,42.2,19.5,197,4275,male
108,Adelie,Biscoe,39.6,20.7,191,3900,female
109,Adelie,Biscoe,42.7,18.3,196,4075,male
110,Adelie,Torgersen,38.6,17.0,188,2900,female
111,Adelie,Torgersen,37.3,20.5,199,3775,male
112,Adelie,Torgersen,35.7,17.0,189,3350,female
113,Adelie,Torgersen,41.1,18.6,189,3325,male
114,Adelie,Torgersen,36.2,17.2,187,3150,female
115,Adelie,Torgersen,37.7,19.8,198,3500,male
116,Adelie,Torgersen,40.2,17.0,176,3450,female
117,Adelie,Torgersen,41.4,18.5,202,3875,male
118,Adelie,Torgersen,35.2,15.9,186,3050,female
119,Adelie,Torgersen,40.6,19.0,199,4000,male
120,Adelie,Torgersen,38.8,17.6,191,3275,female
121,Adelie,Torgersen,41.5,18.3,195,4300,male
122,Adelie,Torgersen,39.0,17.1,191,3050,female
123,Adelie,Torgersen,44.1,18.0,210,4000,male
124,Adelie,Torgersen,38.5,17.9,190,3325,female
125,Adelie,Torgersen,43.1,19.2,197,3500,male
126,Adelie,Dream,36.8,18.5,193,3500,female
127,Adelie,Dream,37.5,18.5,199,4475,male
128,Adelie,Dream,38.1,17.6,187,3425,female
129,Adelie,Dream,41.1,17.5,190,3900,male
130,Adelie,Dream,35.6,17.5,191,3175,female
131,Adelie,Dream,40.2,20.1,200,3975,male
132,Adelie,Dream,37.0,16.5,185,3400,female
133,Adelie,Dream,39.7,17.9,193,4250,male
134,Adelie,Dream,40.2,17.1,193,3400,female
135,Adelie,Dream,40.6,17.2,187,3475,male
136,Adelie,Dream,32.1,15.5,188,3050,female
137,Adelie,Dream,40.7,17.0,190,3725,male
138,Adelie,Dream,37.3,16.8,192,3000,female
139,Adelie,Dream,39.0,18.7,185,3650,male
140,Adelie,Dream,39.2,18.6,190,4250,male
141,Adelie,Dream,36.6,18.4,184,3475,female
142,Adelie,Dream,36.0,17.8,195,3450,female
143,Adelie,Dream,37.8,18.1,193,3750,male
144,Adelie,Dream,36.0,17.1,187,3700,female
145,Adelie,Dream,41.5,18.5,201,4000,male
146,Gentoo,Biscoe,46.1,13.2,211,4500,female
147,Gentoo,Biscoe,50.0,16.3,230,5700,male
148,Gentoo,Biscoe,48.7,14.1,210,4450,female
149,Gentoo,Biscoe,50.0,15.2,218,5700,male
150,Gentoo,Biscoe,47.6,14.5,215,5400,male
151,Gentoo,Biscoe,46.5,13.5,210,4550,female
152,Gentoo,Biscoe,45.4,14.6,211,4800,female
153,Gentoo,Biscoe,46.7,15.3,219,5200,male
154,Gentoo,Biscoe,43.3,13.4,209,4400,female
155,Gentoo,Biscoe,46.8,15.4,215,5150,male
156,Gentoo,Biscoe,40.9,13.7,214,4650,female
157,Gentoo,Biscoe,49.0,16.1,216,5550,male
158,Gentoo,Biscoe,45.5,13.7,214,4650,female
159,Gentoo,Biscoe,48.4,14.6,213,5850,male
160,Gentoo,Biscoe,45.8,14.6,210,4200,female
161,Gentoo,Biscoe,49.3,15.7,217,5850,male
162,Gentoo,Biscoe,42.0,13.5,210,4150,female
163,Gentoo,Biscoe,49.2,15.2,221,6300,male
164,Gentoo,Biscoe,46.2,14.5,209,4800,female
165,Gentoo,Biscoe,48.7,15.1,222,5350,male
166,Gentoo,Biscoe,50.2,14.3,218,5700,male
167,Gentoo,Biscoe,45.1,14.5,215,5000,female
168,Gentoo,Biscoe,46.5,14.5,213,4400,female
169,Gentoo,Biscoe,46.3,15.8,215,5050,male
170,Gentoo,Biscoe,42.9,13.1,215,5000,female
171,Gentoo,Biscoe,46.1,15.1,215,5100,male
172,Gentoo,Biscoe,47.8,15.0,215,5650,male
173,Gentoo,Biscoe,48.2,14.3,210,4600,female
174,Gentoo,Biscoe,50.0,15.3,220,5550,male
175,Gentoo,Biscoe,47.3,15.3,222,5250,male
176,Gentoo,Biscoe,42.8,14.2,209,4700,female
177,Gentoo,Biscoe,45.1,14.5,207,5050,female
178,Gentoo,Biscoe,59.6,17.0,230,6050,male
179,Gentoo,Biscoe,49.1,14.8,220,5150,female
180,Gentoo,Biscoe,48.4,16.3,220,5400,male
181,Gentoo,Biscoe,42.6,13.7,213,4950,female
182,Gentoo,Biscoe,44.4,17.3,219,5250,male
183,Gentoo,Biscoe,44.0,13.6,208,4350,female
184,Gentoo,Biscoe,48.7,15.7,208,5350,male
185,Gentoo,Biscoe,42.7,13.7,208,3950,female
186,Gentoo,Biscoe,49.6,16.0,225,5700,male
187,Gentoo,Biscoe,45.3,13.7,210,4300,female
188,Gentoo,Biscoe,49.6,15.0,216,4750,male
189,Gentoo,Biscoe,50.5,15.9,222,5550,male
190,Gentoo,Biscoe,43.6,13.9,217,4900,female
191,Gentoo,Biscoe,45.5,13.9,210,4200,female
192,Gentoo,Biscoe,50.5,15.9,225,5400,male
193,Gentoo,Biscoe,44.9,13.3,213,5100,female
194,Gentoo,Biscoe,45.2,15.8,215,5300,male
195,Gentoo,Biscoe,46.6,14.2,210,4850,female
196,Gentoo,Biscoe,48.5,14.1,220,5300,male
197,Gentoo,Biscoe,45.1,14.4,210,4400,female
198,Gentoo,Biscoe,50.1,15.0,225,5000,male
199,Gentoo,Biscoe,46.5,14.4,217,4900,female
200,Gentoo,Biscoe,45.0,15.4,220,5050,male
201,Gentoo,Biscoe,43.8,13.9,208,4300,female
202,Gentoo,Biscoe,45.5,15.0,220,5000,male
203,Gentoo,Biscoe,43.2,14.5,208,4450,female
204,Gentoo,Biscoe,50.4,15.3,224,5550,male
205,Gentoo,Biscoe,45.3,13.8,208,4200,female
206,Gentoo,Biscoe,46.2,14.9,221,5300,male
207,Gentoo,Biscoe,45.7,13.9,214,4400,female
208,Gentoo,Biscoe,54.3,15.7,231,5650,male
209,Gentoo,Biscoe,45.8,14.2,219,4700,female
210,Gentoo,Biscoe,49.8,16.8,230,5700,male
211,Gentoo,Biscoe,49.5,16.2,229,5800,male
212,Gentoo,Biscoe,43.5,14.2,220,4700,female
213,Gentoo,Biscoe,50.7,15.0,223,5550,male
214,Gentoo,Biscoe,47.7,15.0,216,4750,female
215,Gentoo,Biscoe,46.4,15.6,221,5000,male
216,Gentoo,Biscoe,48.2,15.6,221,5100,male
217,Gentoo,Biscoe,46.5,14.8,217,5200,female
218,Gentoo,Biscoe,46.4,15.0,216,4700,female
219,Gentoo,Biscoe,48.6,16.0,230,5800,male
220,Gentoo,Biscoe,47.5,14.2,209,4600,female
221,Gentoo,Biscoe,51.1,16.3,220,6000,male
222,Gentoo,Biscoe,45.2,13.8,215,4750,female
223,Gentoo,Biscoe,45.2,16.4,223,5950,male
224,Gentoo,Biscoe,49.1,14.5,212,4625,female
225,Gentoo,Biscoe,52.5,15.6,221,5450,male
226,Gentoo,Biscoe,47.4,14.6,212,4725,female
227,Gentoo,Biscoe,50.0,15.9,224,5350,male
228,Gentoo,Biscoe,44.9,13.8,212,4750,female
229,Gentoo,Biscoe,50.8,17.3,228,5600,male
230,Gentoo,Biscoe,43.4,14.4,218,4600,female
231,Gentoo,Biscoe,51.3,14.2,218,5300,male
232,Gentoo,Biscoe,47.5,14.0,212,4875,female
233,Gentoo,Biscoe,52.1,17.0,230,5550,male
234,Gentoo,Biscoe,47.5,15.0,218,4950,female
235,Gentoo,Biscoe,52.2,17.1,228,5400,male
236,Gentoo,Biscoe,45.5,14.5,212,4750,female
237,Gentoo,Biscoe,49.5,16.1,224,5650,male
238,Gentoo,Biscoe,44.5,14.7,214,4850,female
239,Gentoo,Biscoe,50.8,15.7,226,5200,male
240,Gentoo,Biscoe,49.4,15.8,216,4925,male
241,Gentoo,Biscoe,46.9,14.6,222,4875,female
242,Gentoo,Biscoe,48.4,14.4,203,4625,female
243,Gentoo,Biscoe,51.1,16.5,225,5250,male
244,Gentoo,Biscoe,48.5,15.0,219,4850,female
245,Gentoo,Biscoe,55.9,17.0,228,5600,male
246,Gentoo,Biscoe,47.2,15.5,215,4975,female
247,Gentoo,Biscoe,49.1,15.0,228,5500,male
248,Gentoo,Biscoe,46.8,16.1,215,5500,male
249,Gentoo,Biscoe,41.7,14.7,210,4700,female
250,Gentoo,Biscoe,53.4,15.8,219,5500,male
251,Gentoo,Biscoe,43.3,14.0,208,4575,female
252,Gentoo,Biscoe,48.1,15.1,209,5500,male
253,Gentoo,Biscoe,50.5,15.2,216,5000,female
254,Gentoo,Biscoe,49.8,15.9,229,5950,male
255,Gentoo,Biscoe,43.5,15.2,213,4650,female
256,Gentoo,Biscoe,51.5,16.3,230,5500,male
257,Gentoo,Biscoe,46.2,14.1,217,4375,female
258,Gentoo,Biscoe,55.1,16.0,230,5850,male
259,Gentoo,Biscoe,48.8,16.2,222,6000,male
260,Gentoo,Biscoe,47.2,13.7,214,4925,female
261,Gentoo,Biscoe,46.8,14.3,215,4850,female
262,Gentoo,Biscoe,50.4,15.7,222,5750,male
263,Gentoo,Biscoe,45.2,14.8,212,5200,female
264,Gentoo,Biscoe,49.9,16.1,213,5400,male
265,Chinstrap,Dream,46.5,17.9,192,3500,female
266,Chinstrap,Dream,50.0,19.5,196,3900,male
267,Chinstrap,Dream,51.3,19.2,193,3650,male
268,Chinstrap,Dream,45.4,18.7,188,3525,female
269,Chinstrap,Dream,52.7,19.8,197,3725,male
270,Chinstrap,Dream,45.2,17.8,198,3950,female
271,Chinstrap,Dream,46.1,18.2,178,3250,female
272,Chinstrap,Dream,51.3,18.2,197,3750,male
273,Chinstrap,Dream,46.0,18.9,195,4150,female
274,Chinstrap,Dream,51.3,19.9,198,3700,male
275,Chinstrap,Dream,46.6,17.8,193,3800,female
276,Chinstrap,Dream,51.7,20.3,194,3775,male
277,Chinstrap,Dream,47.0,17.3,185,3700,female
278,Chinstrap,Dream,52.0,18.1,201,4050,male
279,Chinstrap,Dream,45.9,17.1,190,3575,female
280,Chinstrap,Dream,50.5,19.6,201,4050,male
281,Chinstrap,Dream,50.3,20.0,197,3300,male
282,Chinstrap,Dream,58.0,17.8,181,3700,female
283,Chinstrap,Dream,46.4,18.6,190,3450,female
284,Chinstrap,Dream,49.2,18.2,195,4400,male
285,Chinstrap,Dream,42.4,17.3,181,3600,female
286,Chinstrap,Dream,48.5,17.5,191,3400,male
287,Chinstrap,Dream,43.2,16.6,187,2900,female
288,Chinstrap,Dream,50.6,19.4,193,3800,male
289,Chinstrap,Dream,46.7,17.9,195,3300,female
290,Chinstrap,Dream,52.0,19.0,197,4150,male
291,Chinstrap,Dream,50.5,18.4,200,3400,female
292,Chinstrap,Dream,49.5,19.0,200,3800,male
293,Chinstrap,Dream,46.4,17.8,191,3700,female
294,Chinstrap,Dream,52.8,20.0,205,4550,male
295,Chinstrap,Dream,40.9,16.6,187,3200,female
296,Chinstrap,Dream,54.2,20.8,201,4300,male
297,Chinstrap,Dream,42.5,16.7,187,3350,female
298,Chinstrap,Dream,51.0,18.8,203,4100,male
299,Chinstrap,Dream,49.7,18.6,195,3600,male
300,Chinstrap,Dream,47.5,16.8,199,3900,female
301,Chinstrap,Dream,47.6,18.3,195,3850,female
302,Chinstrap,Dream,52.0,20.7,210,4800,male
303,Chinstrap,Dream,46.9,16.6,192,2700,female
304,Chinstrap,Dream,53.5,19.9,205,4500,male
305,Chinstrap,Dream,49.0,19.5,210,3950,male
306,Chinstrap,Dream,46.2,17.5,187,3650,female
307,Chinstrap,Dream,50.9,19.1,196,3550,male
308,Chinstrap,Dream,45.5,17.0,196,3500,female
309,Chinstrap,Dream,50.9,17.9,196,3675,female
310,Chinstrap,Dream,50.8,18.5,201,4450,male
311,Chinstrap,Dream,50.1,17.9,190,3400,female
312,Chinstrap,Dream,49.0,19.6,212,4300,male
313,Chinstrap,Dream,51.5,18.7,187,3250,male
314,Chinstrap,Dream,49.8,17.3,198,3675,female
315,Chinstrap,Dream,48.1,16.4,199,3325,female
316,Chinstrap,Dream,51.4,19.0,201,3950,male
317,Chinstrap,Dream,45.7,17.3,193,3600,female
318,Chinstrap,Dream,50.7,19.7,203,4050,male
319,Chinstrap,Dream,42.5,17.3,187,3350,female
320,Chinstrap,Dream,52.2,18.8,197,3450,male
321,Chinstrap,Dream,45.2,16.6,191,3250,female
322,Chinstrap,Dream,49.3,19.9,203,4050,male
323,Chinstrap,Dream,50.2,18.8,202,3800,male
324,Chinstrap,Dream,45.6,19.4,194,3525,female
325,Chinstrap,Dream,51.9,19.5,206,3950,male
326,Chinstrap,Dream,46.8,16.5,189,3650,female
327,Chinstrap,Dream,45.7,17.0,195,3650,female
328,Chinstrap,Dream,55.8,19.8,207,4000,male
329,Chinstrap,Dream,43.5,18.1,202,3400,female
330,Chinstrap,Dream,49.6,18.2,193,3775,male
331,Chinstrap,Dream,50.8,19.0,210,4100,male
332,Chinstrap,Dream,50.2,18.7,198,3775,female
